Error | PLC IJ02 | Reading Holding Register 0 : 12 | :: [object Object] 15-04-2020 12:03:17
Error | PLC JM01 | Connection Failed | :: Error: read ECONNRESET 15-04-2020 12:15:42
Error | PLC JM01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.11:502 15-04-2020 12:16:06
Error | Modbus Cobot | Connection Failed | :: Error: write ECONNRESET 15-04-2020 12:20:07
Error | PLC JM01 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.11:502 15-04-2020 12:20:30
Error | Modbus Cobot | Connection Failed | :: Error: read ECONNRESET 15-04-2020 12:33:32
Error | PLC Cobot UR10 | Reading Holding Register 0 : 15 | :: [object Object] 15-04-2020 12:36:57
Error | Modbus Cobot | Connection Failed | :: Error: read ECONNRESET 15-04-2020 14:19:37
Error | PLC Cobot UR10 | Connection Failed | :: Error: read ECONNRESET 15-04-2020 14:28:25
Error | PLC Cobot UR10 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.31:502 15-04-2020 14:28:49
Error | Modbus Cobot | Connection Failed | :: Error: read ECONNRESET 15-04-2020 14:29:33
Error | PLC JM02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.51:502 15-04-2020 14:29:56
Error | PLC Cobot UR10 | Connection Failed | :: Error: read ECONNRESET 15-04-2020 14:37:58
Error | PLC Cobot UR10 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.31:502 15-04-2020 14:38:22
Error | PLC IJ02 | Connection Failed | :: Error: read ECONNRESET 15-04-2020 14:44:48
Error | PLC Cobot UR10 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.31:502 15-04-2020 14:45:11
Error | PLC IJ02 | Connection Failed | :: Error: read ECONNRESET 15-04-2020 14:46:16
Error | PLC IJ02 | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.41:502 15-04-2020 14:46:40
Error | PLC Cobot UR10 | Connection Failed | :: Error: read ECONNRESET 15-04-2020 14:48:24
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:48:50
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:49:14
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:49:37
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:50:01
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:50:24
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:50:47
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:51:11
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:51:34
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:51:58
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:52:21
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:52:45
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:53:08
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:53:31
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:53:55
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:54:18
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:54:41
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:55:05
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:55:28
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:55:52
Error | Modbus Cobot | Connection Failed | :: Error: connect ETIMEDOUT 192.168.40.30:502 15-04-2020 14:56:15
